sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
302,2.991137927005184,0.0,0.0,0.0,0.0,0.0,0.0
303,2.9991076760052238,0.0,0.0,0.0,0.0,0.0,0.0
304,3.0071288809995167,0.0,0.0,0.0,0.0,0.0,0.0
305,3.015152168998611,0.0,0.0,0.0,0.0,0.0,0.0
306,3.0231244629976572,0.0,0.0,0.0,0.0,0.0,0.0
307,3.0311199400020996,0.0,0.0,0.0,0.0,0.0,0.0
308,3.0391343209921615,0.0,0.0,0.0,0.0,0.0,0.0
309,3.0471193389967084,0.0,0.0,0.0,0.0,0.0,0.0
310,3.0551264270034153,0.0,0.0,0.0,0.0,0.0,0.0
311,3.0631562979979208,0.0,0.0,0.0,0.0,0.0,0.0
312,3.0711246139981085,0.0,0.0,0.0,0.0,0.0,0.0
313,3.0791365420009242,0.0,0.0,0.0,0.0,0.0,0.0
314,3.087132158005261,0.0,0.0,0.0,0.0,0.0,0.0
315,3.095125289997668,0.0,0.0,0.0,0.0,0.0,0.0
316,3.103137758997036,0.0,0.0,0.0,0.0,0.0,0.0
317,3.111113969993312,0.0,0.0,0.0,0.0,0.0,0.0
318,3.1191183629998704,0.0,0.0,0.0,0.0,0.0,0.0
319,3.1271306609996827,0.0,0.0,0.0,0.0,0.0,0.0
320,3.1351373689976754,0.0,0.0,0.0,0.0,0.0,0.0
321,3.143100064000464,0.0,0.0,0.0,0.0,0.0,0.0
322,3.151127119999728,0.0,0.0,0.0,0.0,0.0,0.0
323,3.159114491994842,0.0,0.0,0.0,0.0,0.0,0.0
324,3.167149120999966,0.0,0.0,0.0,0.0,0.0,0.0
325,3.1751245909981662,0.0,0.0,0.0,0.0,0.0,0.0
326,3.1831261680054013,0.0,0.0,0.0,0.0,0.0,0.0
327,3.1911333570024,0.0,0.0,0.0,0.0,0.0,0.0
328,3.199136968993116,0.0,0.0,0.0,0.0,0.0,0.0
329,3.207126574998256,0.0,0.0,0.0,0.0,0.0,0.0
330,3.2151532900024904,0.0,0.0,0.0,0.0,0.0,0.0
331,3.223124491996714,0.0,0.0,0.0,0.0,0.0,0.0
332,3.231126600992866,0.0,0.0,0.0,0.0,0.0,0.0
333,3.239120084006572,0.0,0.0,0.0,0.0,0.0,0.0
334,3.2471264509949833,0.0,0.0,0.0,0.0,0.0,0.0
335,3.2551185519987484,0.0,0.0,0.0,0.0,0.0,0.0
336,3.2631625789945247,0.0,0.0,0.0,0.0,0.0,0.0
337,3.271113052003784,0.0,0.0,0.0,0.0,0.0,0.0
338,3.279129197995644,0.0,0.0,0.0,0.0,0.0,0.0
339,3.287113483005669,0.0,0.0,0.0,0.0,0.0,0.0
340,3.295140418995288,0.0,0.0,0.0,0.0,0.0,0.0
341,3.303125516002183,0.0,0.0,0.0,0.0,0.0,0.0
342,3.311118689001887,0.0,0.0,0.0,0.0,0.0,0.0
343,3.319128092000028,0.0,0.0,0.0,0.0,0.0,0.0
344,3.327136252002674,0.0,0.0,0.0,0.0,0.0,0.0
345,3.3351357460051076,0.0,0.0,0.0,0.0,0.0,0.0
346,3.343117677999544,0.0,0.0,0.0,0.0,0.0,0.0
347,3.351113165001152,0.0,0.0,0.0,0.0,0.0,0.0
348,3.3591213049949147,0.0,0.0,0.0,0.0,0.0,0.0
349,3.3671426799992332,0.0,0.0,0.0,0.0,0.0,0.0
350,3.375118130003102,0.0,0.0,0.0,0.0,0.0,0.0
351,3.3831261599989375,0.0,0.0,0.0,0.0,0.0,0.0
352,3.391126225993503,0.0,0.0,0.0,0.0,0.0,0.0
353,3.399141318994225,0.0,0.0,0.0,0.0,0.0,0.0
354,3.4071036639943486,0.0,0.0,0.0,0.0,0.0,0.0
355,3.4151470200013136,0.0,0.0,0.0,0.0,0.0,0.0
356,3.423132498006453,0.0,0.0,0.0,0.0,0.0,0.0
357,3.4311294780054595,0.0,0.0,0.0,0.0,0.0,0.0
358,3.439129021993722,0.0,0.0,0.0,0.0,0.0,0.0
359,3.447121432996937,0.0,0.0,0.0,0.0,0.0,0.0
360,3.4551220099965576,0.0,0.0,0.0,0.0,0.0,0.0
361,3.4631783600052586,0.0,0.0,0.0,0.0,0.0,0.0
362,3.4711325700045563,0.0,0.0,0.0,0.0,0.0,0.0
363,3.479134958994109,0.0,0.0,0.0,0.0,0.0,0.0
364,3.4871341529942583,0.0,0.0,0.0,0.0,0.0,0.0
365,3.4951782099960838,0.0,0.0,0.0,0.0,0.0,0.0
366,3.5031272710039048,0.0,0.0,0.0,0.0,0.0,0.0
367,3.5111257529933937,0.0,0.0,0.0,0.0,0.0,0.0
368,3.5191436119930586,0.0,0.0,0.0,0.0,0.0,0.0
369,3.5271273069956806,0.0,0.0,0.0,0.0,0.0,0.0
370,3.535134025005391,0.0,0.0,0.0,0.0,0.0,0.0
371,3.5431161070009694,0.0,0.0,0.0,0.0,0.0,0.0
372,3.551122172997566,0.0,0.0,0.0,0.0,0.0,0.0
373,3.559122128994204,0.0,0.0,0.0,0.0,0.0,0.0
374,3.567172416995163,0.0,0.0,0.0,0.0,0.0,0.0
375,3.5751238119992195,0.0,0.0,0.0,0.0,0.0,0.0
376,3.5831255899975076,0.0,0.0,0.0,0.0,0.0,0.0
377,3.591120946992305,0.0,0.0,0.0,0.0,0.0,0.0
378,3.599147963002906,0.0,0.0,0.0,0.0,0.0,0.0
