sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
290,2.3278965780045837,-0.27726580259780514,-0.05169993102941513,-2.0257951735183988,-0.01352174705414731,0.025085385905077993,-0.006438847822726463,0.1315819999999998,0.03867200000501109,-0.3133389999993816,-0.005632999999999998,-0.0063480000000525035,0.003282999999898483
291,2.335851961004664,-0.5906071006331801,-0.8095019126499697,-1.303584551002047,0.03572624887083141,-0.021863546570592498,0.0030625559816784805,0.1515819999999997,0.07867200000772982,-0.48333899999874197,-0.005632999999999998,-0.0043480000000525034,0.003282999999930468
292,2.343689785004244,-0.5390038806730226,-0.16103556054817927,-1.6897145474824191,0.0005726997942071497,0.013640533355094072,-0.009660257488527864,0.0915819999999999,0.09867200000261221,-0.16333999999842205,-0.005632999999999998,-0.003348000000036511,0.0022829999999464602
293,2.3518470359995263,-0.3063652382627493,-0.2549117823171017,-1.058744471417568,0.03110646507806509,-0.010317009585788324,0.004188868230431353,0.08158199999999985,0.04867200000389162,-0.24333999999922165,-0.0016329999999999997,-0.0003480000000045259,0.0002829999999944356
294,2.3598920479998924,-0.5295571487724086,-0.4832247003457718,-1.0568532231256325,0.030921532003033006,-0.002990519889085039,0.006071801005645894,0.08158199999999978,0.05867200000565081,-0.35333999999906174,-0.002632999999999999,-0.0003480000000205184,0.0012829999999944364
295,2.3678469410006073,-0.833923707154294,-0.5614716949112429,-0.8816535471809672,0.0265365673559361,-0.018658812473512046,-0.012029820896848963,0.12158199999999987,0.05867200000325194,-0.20334099999906174,-0.007632999999999998,-0.0043480000000525034,0.003282999999930469
296,2.3758868720033206,-0.45601252155105076,-0.29111375095931885,-0.9098972508890321,0.0276694190962995,-0.022447519680517242,0.004616850046698215,0.12158199999999988,0.07867200000277215,-0.17333999999874192,-0.008632999999999998,-0.003348000000036511,0.0022829999999464624
297,2.3837964609992923,0.29081246230652513,-0.21652542447437848,-1.3112778013476454,0.013063122005936035,0.007459355865719169,0.0021577519842591983,0.13158199999999978,0.07867200000581073,-0.3633399999987419,-0.005633,-0.00034800000000452595,0.00028299999999443815
298,2.391699626998161,0.5353072013993715,-0.13360053491135307,-1.7114770608781502,0.005655951729404411,0.032767573655496894,0.0024298338923821904,0.07158199999999981,0.018672000004851162,-0.30333899999970143,0.0013669999999999989,0.004652000000027459,-0.0017169999999256036
299,2.3997756660028244,-0.1692893206375607,-0.31472684656257083,-1.1784398246318932,0.020735019429775285,0.0004872930983251197,0.006281167680552644,0.041581999999999945,0.018672000001492745,-0.09333999999970143,-0.0006330000000000004,0.0006520000000114666,-0.0007169999999895724
300,2.4076258530039922,-0.39861573093098757,-0.7387323906287581,-0.9134739418073923,0.03944492125988223,-0.016344620893788454,0.004834633717251264,0.07158199999999987,0.028672000003411864,-0.2133409999995415,-0.002633,0.0006519999999954741,0.00028300000001042877
301,2.415671797003597,-0.2538638734082533,-0.29471783263849916,-0.8688481110592189,0.03421333893605549,-0.011671441723402828,0.008056165584291251,0.07158199999999984,0.0386720000043714,-0.27333999999938163,-0.003633,0.0006519999999954741,0.0002830000000104294
302,2.4239869930024724,-0.3438453818621602,-0.33867253435156536,-0.8232069701384064,0.019676966042933706,-0.0022020295174764383,-0.0017722550791060628,0.0315819999999998,0.028672000005171012,-0.32333899999954147,0.0013669999999999982,0.005652000000043451,-0.0027169999999096107
303,2.4318961899989517,-0.327648771973938,0.22314804746554945,-1.0819205903330897,0.018555340791618392,-0.01317032033442174,0.004326928312412425,0.03158199999999983,0.018672000004211476,-0.2633399999997014,0.00036699999999999884,0.005652000000027459,-0.0017169999999096105
304,2.4397113520026323,0.17387176523068323,-0.5784304923689995,-0.7950545152568823,0.040275914118820574,-0.005690897590449546,0.007099902085000355,0.06158199999999973,0.038672000006930204,-0.43333999999938155,-0.0006330000000000004,0.0026520000000114664,-0.0007169999999575874
