checkpoint,elapsed_end_s,elapsed_end_h,samples_cumulative,rate_hz_cumulative,samples_window,duration_window_s,rate_hz_window,Fx_N_mean,Fx_N_std,Fy_N_mean,Fy_N_std,Fz_N_mean,Fz_N_std,Mx_Nm_mean,Mx_Nm_std,My_Nm_mean,My_Nm_std,Mz_Nm_mean,Mz_Nm_std
47,42299.96017642395,11.74998893789554,42299527,999.9897594129607,899995,899.953441102989,1000.0461789411684,2.4018725763596356,0.012575974827150036,-1.064133689663731,0.011853295135021527,-0.9062674613897765,0.0104779832461832,0.05201768719886622,0.00032648661060569997,-0.0642364042416829,0.00032645022591430505,0.06221596814836716,0.0003152156455061573
48,43199.961971401004,11.999989436500279,43199519,999.9897460233577,899992,899.9532743610325,1000.0430307217838,2.4007303400365347,0.012583077433619926,-1.064236141852783,0.01187512181241519,-0.9071875513524931,0.010469984720478005,0.05201421871887605,0.00032691265074631475,-0.06421878558803833,0.0003268258226635089,0.06221544878360097,0.0003154556997898739
49,44099.96427360899,12.249990076002497,44099513,999.989767030055,899994,899.9531146950321,1000.0454304833222,2.3987169364657426,0.012778880593586252,-1.0649850536120131,0.011591703175291762,-0.9083968651388399,0.010475649305189834,0.0519986454634513,0.00032255381112093686,-0.06417662129027525,0.00032958915309073695,0.06220843208229433,0.00031595524929883996
50,44999.96568086499,12.499990466906942,44999506,999.9897848618764,899993,899.9528624060331,1000.0445996625418,2.3999762233887703,0.012666083864164327,-1.0634484892674159,0.011737619833473044,-0.9089005950084966,0.010507909731688114,0.05202285938145786,0.0003248259079793132,-0.06419134733202968,0.00032760864528591234,0.06220986486537394,0.0003156079140948584
51,45899.96846849698,12.749991241249162,45899500,999.9897937076513,899994,899.9537069450016,1000.0447723640532,2.402730571612533,0.014796022649845884,-1.057711635359647,0.012890746623249906,-0.9093586771512705,0.010530674477575375,0.05212833093755124,0.00034174002778056224,-0.06423868568351723,0.0003579367545113357,0.06225929159826556,0.0003174723994177465
52,46799.97218041599,12.999992272337776,46799493,999.989761096136,899993,899.9548400570056,1000.042402064299,2.401205994180688,0.013564699742325239,-1.0579204893744227,0.012332869369642738,-0.9107401098936224,0.010546495033517806,0.05210971155078651,0.0003334343682463925,-0.06418454257067199,0.00034310255152185734,0.062256592404305956,0.00031697905380261064
53,47699.97482502001,13.249993006950001,47699486,999.989752090608,899993,899.953852673003,1000.0434992604129,2.3983881660832695,0.012596654214835313,-1.0607057996857752,0.011739240305207973,-0.9105864016913756,0.010551093583145389,0.05203420620676137,0.0003252595867750822,-0.0640939158052596,0.0003268030370058197,0.0621893994497765,0.0003158808739064061
54,48599.97673282499,13.499993536895829,48599479,999.9897585789449,899993,899.9532106170082,1000.0442127240866,2.3986775063612606,0.013332810214025612,-1.0579383693878066,0.011941157422252803,-0.9094897153918742,0.01056388529791767,0.05207925124508089,0.00032791492099818695,-0.06408625752334085,0.0003366846154767243,0.06220065717382658,0.00031639395287884976
55,49499.978675956954,13.74999407665471,49499472,999.9897641176723,899993,899.9529409239767,1000.0445124119292,2.40335109204526,0.017561207801258846,-1.055006029262806,0.014787867092463769,-0.9098584278425232,0.010592722581980154,0.05212298186249049,0.00037067568557304755,-0.06416188806937309,0.0004013641825666228,0.062226765643172456,0.0003184153772323371
56,50399.981173734996,13.999994770481944,50399465,999.9897584538134,899993,899.9532019910403,1000.0442223094175,2.4033008647886924,0.01881662942765966,-1.0573238950094925,0.015467237218911094,-0.9115694548519911,0.010826350753427342,0.05206698724985906,0.00038510234262192683,-0.06414471286365438,0.00043621637590276997,0.06230416158531166,0.0003290486010128502
57,51299.98552489298,14.249995979136939,51299460,999.9897558471488,899995,899.9550425870111,1000.0443993434094,2.400302012773571,0.013840982944652561,-1.0575957937771734,0.012503955376209137,-0.9119843833253597,0.010633094582461344,0.052010673292497075,0.0003356725925960509,-0.06400638375919045,0.00034177583049525075,0.062157906611394274,0.00031693638335004266
58,52199.987796816975,14.499996610226937,52199453,999.9897548478544,899993,899.9544702629792,1000.0428129847609,2.401387326581751,0.013896731287226422,-1.0586645252059428,0.013770130488186039,-0.9078417073960153,0.010693739444548694,0.051966259060708356,0.00035543605181337574,-0.06402167886068058,0.0003452210883766796,0.06209712771212719,0.0003195368773440842
59,53099.99044317799,14.749997345327218,53099446,999.9897468309609,899993,899.9541949399863,1000.0431189278653,2.397332416195825,0.01297213734379765,-1.0623423846830586,0.012577077236792094,-0.9022387863686328,0.010635730301966783,0.051899466972098234,0.0003368836088812632,-0.06399462464846205,0.0003347030726336245,0.062148463028805015,0.0003178009627034264
60,53999.99221716897,14.999997838102491,53999438,999.9897367176139,899992,899.9532332429662,1000.0430764128644,2.4021004033743076,0.013469820514415384,-1.0640127850011443,0.01293993325493065,-0.9023257388989472,0.010613607509183916,0.05188261657126174,0.00034193798607403905,-0.0641591890468773,0.0003415647554213399,0.062165942088474,0.0003172783537532636
61,54899.98350260098,15.249995417389162,54899432,999.989954412264,899994,899.9415709479945,1000.0582582844243,2.4259537893359173,0.01912888088085581,-1.0504656446049747,0.019764185737362695,-0.9013156000117324,0.011113347190911496,0.05217889546588087,0.0004579670717664325,-0.06464980513648767,0.00043170142368073925,0.06233986103492093,0.0003316711257444918
62,55799.98033655295,15.499994537931375,55799425,999.9900477285189,899993,899.9479525939678,1000.0500555681052,2.411607396292227,0.018511162739594602,-1.0546594124850062,0.017221603192517188,-0.9063862721749725,0.01056863771243448,0.0520652546413991,0.00041754908720126246,-0.06431392747061032,0.0004351590283344542,0.06226707734835292,0.0003239764725568017
63,56699.99186173797,15.74999773937166,56699419,999.9898966169277,899994,899.9622415790218,1000.0352886149118,2.3980141411504077,0.013002237327545556,-1.0625962102868483,0.013211475103795972,-0.9020872492875631,0.010910547798912101,0.05187602215385625,0.0003460936668388674,-0.06400632177063391,0.0003345003968497364,0.06215789809329627,0.00031699281241474457
64,57599.998784556985,15.99999966237694,57599411,999.9897954067815,899992,899.9582430979935,1000.0375094092035,2.401493705815074,0.012958115232255929,-1.0603114547829982,0.012638149356245796,-0.8995809439304561,0.010593148027061813,0.05193711320217616,0.0003371679091806771,-0.06413707044168328,0.00033297071314772504,0.06216832576137898,0.00031710342688019146
65,58499.95395429997,16.24998720952777,58499355,999.9897614568989,899944,899.9060419629677,1000.0421800002025,2.397605144453566,0.013134296538166633,-1.0626199344224596,0.012873185548328068,-0.8992016308812047,0.010596036493730317,0.05189790260826596,0.0003416220953991747,-0.06408690758094084,0.0003349945210207464,0.06210714336630469,0.0003166610222262714
66,59399.95884611196,16.499988568364433,59399348,999.9897163882969,899993,899.9557758789742,1000.0413621669236,2.3986803014059106,0.013168207866021176,-1.0639467646160357,0.012734055061311186,-0.8968618986437503,0.010632289413816269,0.05188544579157184,0.0003392139276490238,-0.06413490969388451,0.00033355845552918416,0.06212140422577408,0.00031740201233509523
67,60299.96260887,16.749989613575,60299342,999.9897079725566,899994,899.9550580740324,1000.0432709673869,2.3986494230881097,0.013185530776305372,-1.0610889664268874,0.01284101483035904,-0.8973796700117346,0.010584261037736234,0.051959646923369046,0.0003414468907612995,-0.06418116244724144,0.0003352078137824726,0.06218196486657423,0.0003160375244740205
68,61199.96309912397,16.999989749756658,61199334,999.9897205963515,899992,899.9518747879774,1000.0445859530345,2.397115739562651,0.01314647311904329,-1.0638296801324347,0.012420716319646526,-0.8969113604068412,0.010603513126969097,0.05191870508147416,0.00033436175404815923,-0.06417906255210622,0.0003341863489465127,0.06216480876621683,0.00031692000298053454
69,62099.967329608975,17.24999092489138,62099329,999.9897209348665,899995,899.9549824409769,1000.0444661786466,2.3990938409240607,0.012974721807167246,-1.0616484357880878,0.012680748101351292,-0.896418312220037,0.010596819175594598,0.05199452306308502,0.00033968662563209253,-0.0642574181263544,0.00033247736117181573,0.06221352738660538,0.0003165005529024041
70,62999.96198785398,17.49998944107055,62999321,999.9898255834804,899992,899.9466136040282,1000.0504323204128,2.3984901560989424,0.012828829581848998,-1.0554732179421555,0.01285013834982717,-0.8984983309659818,0.010594794239815184,0.052129781688851136,0.0003415134365924029,-0.06425746962986728,0.00033010742381802907,0.062198141232008834,0.0003161712332126241
71,63899.96229970595,17.749989527696098,63899314,999.9898544587098,899993,899.9508653559606,1000.0468188271843,2.3913400286282447,0.01321599688995428,-1.0638164344227563,0.012193255107362149,-0.8986947246328254,0.010593153210491863,0.05197224906796474,0.0003324444252750056,-0.06411510272850103,0.0003367413861033301,0.06213569380610326,0.0003167411924413113
72,64799.961105668976,17.99998919601916,64799307,999.9899057706546,899993,899.9498268030002,1000.0479728932814,2.4005844761650037,0.01731043260632518,-1.0605610953762583,0.013671294284435464,-0.8971071315361797,0.010622390505191861,0.05206312547919095,0.0003533542256818005,-0.0643256427177497,0.00040650203332274294,0.06224212573710748,0.000320601326234542
73,65699.961088699,18.24998919130528,65699302,999.9899682025974,899995,899.9507453929982,1000.0491744767459,2.3920953259025,0.016730230068749928,-1.0676551669490586,0.013491983481306894,-0.9020804220299747,0.011008099777956411,0.05194133569855853,0.00034917722388043496,-0.06417687282181245,0.0003945052579081455,0.062300654674496775,0.00032470072940427583
74,66599.967264309,18.4999909067525,66599295,999.9899059363448,899993,899.9577419080306,1000.0391774972619,2.387045422408919,0.012673335637130145,-1.061121949155149,0.011833469532628729,-0.9045302427685195,0.010602428915910837,0.05203930220662239,0.00032776337721849343,-0.06402147496902809,0.0003286694556879121,0.06217738500917307,0.0003165272044691619
75,67499.97840723197,18.749994002008883,67499288,999.9897717414395,899993,899.962371659989,1000.0340329117922,2.390267381518723,0.013079366198958513,-1.0574898364180345,0.013168456662341987,-0.9026257227948274,0.010645802780419465,0.052116217573142234,0.0003460800345207775,-0.06407923145012584,0.00033385788939265497,0.06221720364161377,0.00031766161077380307
76,68399.98264283396,18.999995178564987,68399281,999.989742061228,899993,899.9558626199723,1000.0412657793235,2.405132559287661,0.020688352722836326,-1.055640530107584,0.01474738811171866,-0.9030580292380351,0.010675067590774542,0.05216646129314205,0.0003712487705506197,-0.06438719880194246,0.0004582995776243976,0.06225666972708732,0.00032134339633467263
77,69299.97279000195,19.249992441667207,69299273,999.989902016209,899992,899.9414119949797,1000.0562125537796,2.3986602432186284,0.020346321531863734,-1.0595360069715016,0.014911704059800452,-0.9062348105727595,0.01124758994123795,0.05209048292789957,0.00037416776716292835,-0.06425213338606423,0.00046375917773786685,0.06237974053901923,0.0003298543093279386
78,69325.77287676797,19.257159132435547,69325059,999.9897025775791,25786,25.75083202996757,1001.3657022806682,2.3742398650108583,0.012545601468125408,-1.0805116800263708,0.011933012089262288,-0.9108613361921586,0.010625141614030933,0.0516585552520864,0.00032614268145584864,-0.06371773841935546,0.0003298844965416295,0.06222481753992089,0.0003152094983078247
