sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1928,3.749943713,-0.487851751603,-3.04171808571,-6.19461964042,0.110284794597,-0.0158409330262,0.0026272604683,0,0,0,0,0,0,0.091582,0.0886720000021,-0.133338999999,0.002367,0.00765200000004,-0.00271699999988
1929,3.751920410,-0.388240755187,-2.82786867057,-6.55989365621,0.106025375257,-0.0103597339991,0.00707158778627,0,0,0,0,0,0,0.091582,0.0886720000021,-0.133338999999,0.002367,0.00765200000004,-0.00271699999988
1930,3.753933535,-0.00188733120014,-3.11438389934,-6.55538195921,0.106030218102,-0.00868689334289,0.0147059858848,0,0,0,0,0,0,0.091582,0.0886720000021,-0.133338999999,0.002367,0.00765200000004,-0.00271699999988
1931,3.755915021,-0.445190771129,-2.81610571665,-6.3457927339,0.102946920684,-0.00979395161103,0.00305686764188,0,0,0,0,0,0,0.091582,0.0886720000021,-0.133338999999,0.002367,0.00765200000004,-0.00271699999988
1932,3.757932914,-0.619126736327,-2.96194158654,-6.49776502123,0.105567357042,-0.0144981407063,-0.000436309144901,0,0,0,0,0,0,0.031582,0.0586719999986,0.0866600000009,0.007367,0.0106520000001,-0.00371699999983
1933,3.759924229,-0.555504819174,-3.05885165969,-6.63882513225,0.105108822764,-0.0134445580452,-0.00186923453134,0,0,0,0,0,0,0.031582,0.0586719999986,0.0866600000009,0.007367,0.0106520000001,-0.00371699999983
1934,3.761927315,0.220349027911,-3.30120557277,-6.47124398591,0.110652733653,0.0117598086267,0.00295169093782,0,0,0,0,0,0,0.031582,0.0586719999986,0.0866600000009,0.007367,0.0106520000001,-0.00371699999983
1935,3.763921555,-0.11283123036,-2.95356207638,-6.47338418018,0.100102736107,-0.0052715262215,0.0121296557767,0,0,0,0,0,0,0.031582,0.0586719999986,0.0866600000009,0.007367,0.0106520000001,-0.00371699999983
1936,3.765935622,-0.244570763351,-2.65284608338,-6.46627147949,0.0954573250167,-0.00408862200304,-0.00991258428786,0,0,0,0,0,0,0.081582,0.108672000001,-0.0733389999983,0.002367,0.00665200000003,-0.00171699999989
1937,3.767923209,-0.454860366745,-3.0825031201,-6.26818968023,0.116125311749,-0.0173076687022,0.00490561215419,0,0,0,0,0,0,0.081582,0.108672000001,-0.0733389999983,0.002367,0.00665200000003,-0.00171699999989
1938,3.769931845,-0.250837967951,-3.29059628703,-6.40574156899,0.122545826477,0.00204453317652,0.00502299214492,0,0,0,0,0,0,0.081582,0.108672000001,-0.0733389999983,0.002367,0.00665200000003,-0.00171699999989
1939,3.771927157,0.00148391482784,-3.18306608775,-6.43989937259,0.119438164306,-0.00467147454247,0.0117601776677,0,0,0,0,0,0,0.081582,0.108672000001,-0.0733389999983,0.002367,0.00665200000003,-0.00171699999989
1940,3.773995194,0.217348204117,-3.3098075536,-5.99016602414,0.130324637938,-0.00376536281006,0.00780505246951,0,0,0,0,0,0,0.111582,0.0986720000013,-0.0833399999984,0.001367,0.00265200000001,-0.000716999999958
1941,3.775954008,-0.0431208280511,-3.35877350075,-6.22363523095,0.130978232015,-0.010423308842,0.00929843870332,0,0,0,0,0,0,0.111582,0.0986720000013,-0.0833399999984,0.001367,0.00265200000001,-0.000716999999958
